"","Borough","Category","StartDateTime","EventType","SubCategoryName","Month","Day","Year","Season"
"3900","Brooklyn","Film",2024-08-03 02:00:00,"Shooting Permit","Short",8,3,2024,"Summer"
"3901","Brooklyn","Film",2024-08-02 09:00:00,"Shooting Permit","Short",8,2,2024,"Summer"
"3902","Brooklyn","Television",2024-07-26 07:00:00,"Shooting Permit","Episodic series",7,26,2024,"Summer"
"3903","Manhattan","Television",2024-07-29 12:00:00,"Shooting Permit","Episodic series",7,29,2024,"Summer"
"3904","Queens","Television",2024-07-24,"Shooting Permit","Episodic series",7,24,2024,"Summer"
"3905","Manhattan","Television",2024-07-29 01:00:00,"Shooting Permit","Morning Show",7,29,2024,"Summer"
"3906","Manhattan","Television",2024-07-25 10:30:00,"Shooting Permit","Cable-episodic",7,25,2024,"Summer"
"3907","Brooklyn","Television",2024-07-26 10:00:00,"Shooting Permit","Episodic series",7,26,2024,"Summer"
"3908","Brooklyn","Television",2024-07-29 07:00:00,"Shooting Permit","Episodic series",7,29,2024,"Summer"
"3909","Manhattan","Television",2024-07-28 10:30:00,"Shooting Permit","Episodic series",7,28,2024,"Summer"
"3910","Brooklyn","Television",2024-07-25 14:00:00,"Shooting Permit","Pilot",7,25,2024,"Summer"
"3911","Manhattan","Television",2024-07-24 11:00:00,"Shooting Permit","Episodic series",7,24,2024,"Summer"
"3912","Manhattan","Film",2024-08-01 06:00:00,"Shooting Permit","Short",8,1,2024,"Summer"
"3913","Manhattan","Film",2024-07-31 06:00:00,"Shooting Permit","Short",7,31,2024,"Summer"
"3914","Manhattan","Film",2024-07-30 06:00:00,"Shooting Permit","Short",7,30,2024,"Summer"
"3915","Manhattan","Film",2024-07-29 06:00:00,"Shooting Permit","Short",7,29,2024,"Summer"
"3916","Brooklyn","Television",2024-07-26 08:00:00,"Shooting Permit","Cable-episodic",7,26,2024,"Summer"
"3917","Manhattan","Television",2024-07-24 07:00:00,"Shooting Permit","Cable-episodic",7,24,2024,"Summer"
"3918","Brooklyn","Commercial",2024-07-24 08:00:00,"Shooting Permit","Commercial",7,24,2024,"Summer"
"3919","Brooklyn","Television",2024-07-29 07:00:00,"Shooting Permit","Episodic series",7,29,2024,"Summer"
"3920","Manhattan","Television",2024-07-29 07:00:00,"Shooting Permit","Episodic series",7,29,2024,"Summer"
"3921","Manhattan","Television",2024-07-23 07:00:00,"Shooting Permit","Episodic series",7,23,2024,"Summer"
"3922","Brooklyn","Film",2024-07-30 21:15:00,"Shooting Permit","Feature",7,30,2024,"Summer"
"3923","Brooklyn","Television",2024-07-25 06:00:00,"Shooting Permit","Episodic series",7,25,2024,"Summer"
"3924","Queens","Television",2024-07-24 06:00:00,"Shooting Permit","Episodic series",7,24,2024,"Summer"
"3925","Brooklyn","Television",2024-07-25 08:00:00,"Shooting Permit","Episodic series",7,25,2024,"Summer"
"3926","Manhattan","Theater",2024-08-01 11:00:00,"Shooting Permit","Theater",8,1,2024,"Summer"
"3927","Manhattan","Theater",2024-07-26 12:00:00,"Shooting Permit","Theater",7,26,2024,"Summer"
"3928","Manhattan","Commercial",2024-07-23 12:00:00,"Shooting Permit","Commercial",7,23,2024,"Summer"
"3929","Queens","Television",2024-07-23 06:00:00,"Shooting Permit","Episodic series",7,23,2024,"Summer"
"3930","Brooklyn","Film",2024-07-20 09:00:00,"Shooting Permit","Short",7,20,2024,"Summer"
"3931","Manhattan","Television",2024-07-22 07:00:00,"Shooting Permit","Cable-episodic",7,22,2024,"Summer"
